ranked_features,"ICC(3,1)"
original_shape_SurfaceVolumeRatio,0.9258163379724608
original_glcm_Contrast,0.997966861225134
original_glcm_ClusterShade,0.7823236961747108
original_shape_Maximum2DDiameterSlice,0.848850559165821
original_shape_Flatness,0.8109440542496058
original_glcm_Imc2,0.9710769797865908
original_shape_SurfaceArea,0.8128500347515129
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.9199487481856432
original_firstorder_TotalEnergy,0.8584345572759929
original_glszm_ZonePercentage,0.9883081936642628
original_shape_Elongation,0.7741127695597121
original_glszm_SizeZoneNonUniformity,0.8832891135079244
original_glcm_Imc1,0.9534622681358972
original_firstorder_90Percentile,0.9852069155551152
original_shape_MajorAxisLength,0.8760186703564941
original_glszm_GrayLevelNonUniformityNormalized,0.9164829798511904
original_shape_MinorAxisLength,0.8555434784207958
original_shape_MeshVolume,0.813530886977034
original_ngtdm_Contrast,0.9955613287072136
original_shape_Maximum2DDiameterRow,0.8001555374112311
original_glcm_MCC,0.9743255774804038
original_firstorder_Energy,0.8222340521829284
original_shape_LeastAxisLength,0.8286478895305082
original_shape_Maximum2DDiameterColumn,0.8209636440950765
original_glcm_Correlation,0.9726926755676776
original_shape_Maximum3DDiameter,0.80578713833923
original_glcm_SumEntropy,0.9718174429519776
original_firstorder_Mean,0.943286757861572
original_shape_VoxelVolume,0.8134276660263468
original_glrlm_RunLengthNonUniformity,0.8442253922842206
original_gldm_SmallDependenceEmphasis,0.9901210833074392
original_ngtdm_Strength,0.9463800908456544
original_glszm_SmallAreaHighGrayLevelEmphasis,0.7847246302374015
original_glszm_GrayLevelNonUniformity,0.8496752936389558
original_ngtdm_Coarseness,0.9412054361471538
original_gldm_GrayLevelNonUniformity,0.8199532489443899
original_firstorder_Uniformity,0.9720569223327494
original_gldm_DependenceNonUniformity,0.8508929889587524
original_ngtdm_Complexity,0.9788930578178126
original_glrlm_GrayLevelNonUniformity,0.8310835721525731
original_ngtdm_Busyness,0.8546772755312284
original_glcm_Id,0.9972299338842554
original_gldm_DependenceEntropy,0.8786103620752507
original_glcm_DifferenceAverage,0.9978659984264144
original_firstorder_Entropy,0.9767449603103558
original_glszm_SizeZoneNonUniformityNormalized,0.9442339484232009
original_glcm_Idm,0.9970566819291458
original_glcm_Idn,0.9868150476431546
original_gldm_GrayLevelVariance,0.9888943549930512
original_firstorder_Maximum,0.7998479876117006
original_glcm_SumSquares,0.9936038078918816
original_glrlm_RunPercentage,0.993559428477515
original_firstorder_Median,0.9486019634646452
original_glrlm_GrayLevelNonUniformityNormalized,0.972036130367645
original_glcm_DifferenceEntropy,0.9964549623721976
original_glcm_ClusterTendency,0.984700240540837
original_glszm_GrayLevelVariance,0.9512066071827294
original_firstorder_Variance,0.9888837061986552
original_glrlm_RunEntropy,0.9388533132166408
original_glrlm_RunLengthNonUniformityNormalized,0.992552954276396
original_firstorder_InterquartileRange,0.9903742344653966
