Model,BA_Mask1,BA_Mask2,AUC_Mask1,AUC_Mask2,Delta_BA,Abs_Delta_BA
EBR + Naive Bayes,0.7571428571428571,0.7714285714285714,0.8476190476190476,0.7904761904761904,0.014285714285714235,0.014285714285714235
QRA + Logistic Regression,0.7738095238095238,0.8,0.8476190476190476,0.9047619047619048,0.02619047619047621,0.02619047619047621
EBR + SVM,0.8714285714285714,0.8428571428571429,0.8666666666666667,0.8714285714285714,-0.02857142857142858,0.02857142857142858
EBR + Logistic Regression,0.8714285714285714,0.8285714285714285,0.8666666666666667,0.8523809523809525,-0.04285714285714293,0.04285714285714293
GA + Logistic Regression,0.7333333333333334,0.7857142857142857,0.8809523809523809,0.8857142857142857,0.052380952380952306,0.052380952380952306
QRA + Decision Tree,0.7619047619047619,0.8142857142857143,0.8928571428571428,0.8214285714285714,0.05238095238095242,0.05238095238095242
QRA + SVM,0.8023809523809524,0.7428571428571429,0.8476190476190476,0.8666666666666667,-0.059523809523809534,0.059523809523809534
QRA + KNN,0.9714285714285714,0.8571428571428572,1.0,0.8523809523809524,-0.11428571428571421,0.11428571428571421
mRMR + Neural Network,0.8714285714285714,0.7571428571428571,0.8714285714285714,0.7999999999999999,-0.11428571428571432,0.11428571428571432
DT + SVM,0.8166666666666667,0.6904761904761905,0.8761904761904762,0.819047619047619,-0.1261904761904762,0.1261904761904762
EBR + KNN,0.8595238095238096,0.730952380952381,0.923809523809524,0.7833333333333333,-0.12857142857142856,0.12857142857142856
EBR + Decision Tree,0.819047619047619,0.6904761904761905,0.9333333333333332,0.7333333333333334,-0.12857142857142856,0.12857142857142856
QRA + Neural Network,0.9142857142857144,0.7738095238095238,0.8857142857142857,0.8952380952380953,-0.14047619047619053,0.14047619047619053
mRMR + Logistic Regression,0.8714285714285714,0.7142857142857143,0.8666666666666667,0.7666666666666667,-0.15714285714285714,0.15714285714285714
DT + Logistic Regression,0.8428571428571429,0.6738095238095239,0.861904761904762,0.7523809523809525,-0.169047619047619,0.169047619047619
DT + Decision Tree,0.8857142857142857,0.7166666666666667,0.9285714285714286,0.7571428571428572,-0.169047619047619,0.169047619047619
mRMR + KNN,1.0,0.8285714285714285,1.0,0.7285714285714286,-0.17142857142857149,0.17142857142857149
mRMR + SVM,0.8714285714285714,0.7,0.8571428571428571,0.7523809523809524,-0.17142857142857149,0.17142857142857149
mRMR + Naive Bayes,0.8571428571428572,0.6571428571428571,0.8238095238095238,0.7428571428571429,-0.20000000000000007,0.20000000000000007
QRA + Naive Bayes,0.6357142857142857,0.8571428571428572,0.7857142857142857,0.8142857142857144,0.22142857142857153,0.22142857142857153
QRA + Random Forest,1.0,0.7619047619047619,1.0,0.888095238095238,-0.23809523809523814,0.23809523809523814
DT + Naive Bayes,0.8428571428571429,0.5880952380952381,0.8238095238095238,0.6738095238095239,-0.25476190476190474,0.25476190476190474
mRMR + Random Forest,0.9714285714285714,0.7,0.9809523809523808,0.780952380952381,-0.27142857142857146,0.27142857142857146
mRMR + Decision Tree,0.8571428571428572,0.5714285714285714,0.9714285714285714,0.5,-0.2857142857142858,0.2857142857142858
EBR + Random Forest,0.9428571428571428,0.6452380952380953,0.9904761904761904,0.7761904761904763,-0.29761904761904756,0.29761904761904756
EBR + Neural Network,0.9714285714285714,0.6642857142857144,0.9666666666666668,0.7761904761904761,-0.30714285714285705,0.30714285714285705
DT + KNN,0.7904761904761904,0.4547619047619047,0.9428571428571428,0.611904761904762,-0.33571428571428574,0.33571428571428574
DT + Random Forest,1.0,0.638095238095238,1.0,0.7571428571428571,-0.36190476190476195,0.36190476190476195
DT + Neural Network,0.830952380952381,0.4404761904761904,0.9476190476190476,0.5333333333333333,-0.3904761904761906,0.3904761904761906
