Model,Validation_BA,Agreement_Rate,Agreement_Count,Total_Patients
DT + SVM,0.725,0.6829268292682927,28,41
DT + Logistic Regression,0.55,0.6585365853658537,27,41
DT + KNN,0.675,0.6341463414634146,26,41
QRA + KNN,0.6666666666666666,0.6341463414634146,26,41
EBR + KNN,0.6666666666666666,0.6341463414634146,26,41
mRMR + SVM,0.775,0.6097560975609756,25,41
DT + Neural Network,0.7333333333333334,0.5853658536585366,24,41
QRA + Naive Bayes,0.7833333333333333,0.5609756097560976,23,41
QRA + Neural Network,0.7833333333333333,0.5609756097560976,23,41
EBR + Naive Bayes,0.7833333333333333,0.5609756097560976,23,41
mRMR + Logistic Regression,0.7333333333333334,0.4878048780487805,20,41
DT + Naive Bayes,0.725,0.4878048780487805,20,41
QRA + Random Forest,0.8333333333333333,0.4634146341463415,19,41
mRMR + Naive Bayes,0.775,0.43902439024390244,18,41
GA + Logistic Regression,0.675,0.4146341463414634,17,41
